animation_id,frame_id,run_id,sample_id,state,category,x_mm,y_mm,target_zone,event_type,event_label,notes
baseline_multi_box_sorting,41,baseline_multi_box_run,MBOX-020,MOVE_SAFE_ABOVE_TARGET,Category B,412.000,212.000,output_B,move_to_output,move to target,move above target
baseline_multi_box_sorting,42,baseline_multi_box_run,MBOX-021,MOVE_SAFE_ABOVE_SCAN,Category C,-140.000,60.000,output_C,move_to_scan,move to scan,move above scan station
baseline_multi_box_sorting,43,baseline_multi_box_run,MBOX-021,RETREAT_TO_SAFE_Z,Category C,202.000,2.000,output_C,trajectory,RETREAT_TO_SAFE_Z,retreat after place
baseline_multi_box_sorting,44,baseline_multi_box_run,MBOX-022,CLASSIFY_SAMPLE,Category D,-140.000,60.000,output_D,classify,classify sample,scan and classify
baseline_multi_box_sorting,45,baseline_multi_box_run,MBOX-023,PICK_TUBE,Category A,-288.000,243.000,output_A,pick,pick tube,pick tube
baseline_multi_box_sorting,46,baseline_multi_box_run,MBOX-023,APPROACH_TARGET_SLOT,Category A,230.000,212.000,output_A,trajectory,APPROACH_TARGET_SLOT,approach target slot
baseline_multi_box_sorting,47,baseline_multi_box_run,MBOX-024,APPROACH_SCAN_STATION,Category B,-140.000,60.000,output_B,trajectory,APPROACH_SCAN_STATION,approach scan station
baseline_multi_box_sorting,48,baseline_multi_box_run,MBOX-025,MOVE_SAFE_ABOVE_INPUT,Category C,-400.000,197.000,output_C,move_to_input,move to input,move to input safe height
baseline_multi_box_sorting,49,baseline_multi_box_run,MBOX-025,LIFT_TO_SAFE_Z_AFTER_SCAN,Category C,-140.000,60.000,output_C,trajectory,LIFT_TO_SAFE_Z_AFTER_SCAN,lift after scan
baseline_multi_box_sorting,50,baseline_multi_box_run,MBOX-026,LIFT_TO_SAFE_Z,Category D,-372.000,197.000,output_D,trajectory,LIFT_TO_SAFE_Z,lift picked tube
baseline_multi_box_sorting,51,baseline_multi_box_run,MBOX-026,PLACE_TUBE,Category D,440.000,2.000,output_D,place_to_output,place to Category D,place tube
baseline_multi_box_sorting,52,baseline_multi_box_run,MBOX-027,SCAN_BARCODE,Category A,-140.000,60.000,output_A,scan,scan barcode,scan and classify
baseline_multi_box_sorting,53,baseline_multi_box_run,MBOX-028,APPROACH_INPUT_SLOT,Category B,-316.000,197.000,output_B,trajectory,APPROACH_INPUT_SLOT,approach input slot
baseline_multi_box_sorting,54,baseline_multi_box_run,MBOX-028,MOVE_SAFE_ABOVE_TARGET,Category B,300.000,184.000,output_B,move_to_output,move to target,move above target
baseline_multi_box_sorting,55,baseline_multi_box_run,MBOX-029,MOVE_SAFE_ABOVE_SCAN,Category C,-140.000,60.000,output_C,move_to_scan,move to scan,move above scan station
baseline_multi_box_sorting,56,baseline_multi_box_run,MBOX-029,RETREAT_TO_SAFE_Z,Category C,90.000,-26.000,output_C,trajectory,RETREAT_TO_SAFE_Z,retreat after place
baseline_multi_box_sorting,57,baseline_multi_box_run,MBOX-030,CLASSIFY_SAMPLE,Category D,-140.000,60.000,output_D,classify,classify sample,scan and classify
baseline_multi_box_sorting,58,baseline_multi_box_run,MBOX-031,PICK_TUBE,Category A,-400.000,169.000,output_A,pick,pick tube,pick tube
baseline_multi_box_sorting,59,baseline_multi_box_run,MBOX-031,APPROACH_TARGET_SLOT,Category A,118.000,184.000,output_A,trajectory,APPROACH_TARGET_SLOT,approach target slot
baseline_multi_box_sorting,60,baseline_multi_box_run,MBOX-032,APPROACH_SCAN_STATION,Category B,-140.000,60.000,output_B,trajectory,APPROACH_SCAN_STATION,approach scan station
baseline_multi_box_sorting,61,baseline_multi_box_run,MBOX-033,MOVE_SAFE_ABOVE_INPUT,Category C,-344.000,169.000,output_C,move_to_input,move to input,move to input safe height
baseline_multi_box_sorting,62,baseline_multi_box_run,MBOX-033,LIFT_TO_SAFE_Z_AFTER_SCAN,Category C,-140.000,60.000,output_C,trajectory,LIFT_TO_SAFE_Z_AFTER_SCAN,lift after scan
baseline_multi_box_sorting,63,baseline_multi_box_run,MBOX-034,LIFT_TO_SAFE_Z,Category D,-316.000,169.000,output_D,trajectory,LIFT_TO_SAFE_Z,lift picked tube
baseline_multi_box_sorting,64,baseline_multi_box_run,MBOX-034,PLACE_TUBE,Category D,328.000,-26.000,output_D,place_to_output,place to Category D,place tube
